RegionID,last_months_since_2000,Zillow_Home_Value_Index_last,forecast_months_since_2000_h1,Zillow_Home_Value_Index_pred_t_plus_1,forecast_months_since_2000_h3,Zillow_Home_Value_Index_pred_t_plus_3,forecast_months_since_2000_h12,Zillow_Home_Value_Index_pred_t_plus_12
394409,305,113259.3843077139,306,114722.8424551211,308,114722.8424551211,317,114722.8424551211
394410,305,355474.9074955633,306,358081.18052646786,308,358081.18052646786,317,358081.18052646786
394411,305,257717.5988152536,306,258531.4727166375,308,258531.4727166375,317,258531.4727166375
394412,305,583650.0601539062,306,583630.9142597907,308,583630.9142597907,317,583630.9142597907
394413,305,365727.3466955833,306,358279.9277712198,308,358279.9277712198,317,358279.9277712198
394414,305,480851.0944908886,306,480385.6887816797,308,480385.6887816797,317,480385.6887816797
394415,305,668534.9233546468,306,705005.5351590557,308,705005.5351590557,317,705005.5351590557
394417,305,176306.9699943429,306,177724.66358154226,308,177724.66358154226,317,177724.66358154226
394418,305,455443.48252805584,306,459522.4668682665,308,459522.4668682665,317,459522.4668682665
394419,305,314482.9401427159,306,316414.868761198,308,316414.868761198,317,316414.868761198
394421,305,201631.44671166188,306,206421.7091497824,308,206421.7091497824,317,206421.7091497824
394422,305,187636.62265503945,306,216927.9615592815,308,216927.9615592815,317,216927.9615592815
394423,305,310877.416385194,306,318154.6855590956,308,318154.6855590956,317,318154.6855590956
394424,305,156119.5506271372,306,157091.08442877955,308,157091.08442877955,317,157091.08442877955
394425,305,281622.0118401922,306,281218.37479754514,308,281218.37479754514,317,281218.37479754514
394426,305,330433.80880915606,306,327470.33903277316,308,327470.33903277316,317,327470.33903277316
394427,305,138669.73554636503,306,141239.94064499222,308,141239.94064499222,317,141239.94064499222
394428,305,293549.64546638896,306,293993.5473486347,308,293993.5473486347,317,293993.5473486347
394429,305,482132.4261259522,306,478177.1572319056,308,478177.1572319056,317,478177.1572319056
394430,305,275999.63909789134,306,274443.86886208033,308,274443.86886208033,317,274443.86886208033
394431,305,233971.0741965669,306,233675.65971590427,308,233675.65971590427,317,233675.65971590427
394432,305,276855.972670052,306,274933.5125711095,308,274933.5125711095,317,274933.5125711095
394433,305,273547.8313266498,306,274502.87766050245,308,274502.87766050245,317,274502.87766050245
394434,305,159845.13210166557,306,160684.8085320644,308,160684.8085320644,317,160684.8085320644
394435,305,100547.59993605156,306,105979.2443828942,308,105979.2443828942,317,105979.2443828942
394436,305,198822.9328526421,306,196079.5932710988,308,196079.5932710988,317,196079.5932710988
394437,305,349676.24640326964,306,348007.28744267905,308,348007.28744267905,317,348007.28744267905
394439,305,211472.5219996849,306,211798.49470817472,308,211798.49470817472,317,211798.49470817472
